Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,DailyHours,TariffRate,ElectricityBill
7,0,2,3,2,0,6,6.9,19.5,17268.66
9,1,0,0,2,0,8,11.6,8.0,2894.29
8,2,2,1,2,2,11,6.9,13.5,16437.63
8,0,3,1,2,2,3,14.4,14.6,39842.0
0,2,0,4,3,1,8,12.1,6.7,4899.19
8,2,1,3,1,2,2,15.2,17.0,34837.4
6,2,1,0,3,0,10,17.7,6.4,8846.44
8,2,1,2,0,1,4,6.4,10.9,7240.67
7,1,2,1,2,2,1,10.4,18.5,31455.55
0,1,1,1,0,1,3,4.1,17.9,5431.67
7,3,1,4,3,2,9,4.9,16.8,12980.15
7,3,1,4,3,0,6,17.3,12.0,22679.43
10,3,3,1,0,1,6,6.3,11.1,16015.92
2,3,3,1,3,2,6,11.0,6.6,16812.45
0,2,3,4,3,1,8,13.8,15.4,43412.33
7,2,1,2,3,0,5,7.5,21.0,13401.13
2,2,1,1,2,1,5,7.4,9.4,7279.95
2,1,2,3,2,1,11,14.3,8.3,14649.88
0,1,2,1,2,0,10,4.5,21.8,9581.3
10,2,2,3,0,2,7,13.8,13.2,33043.29
4,2,2,4,2,1,12,11.3,10.6,17961.2
9,2,1,2,3,1,11,15.2,8.4,13512.51
6,2,2,0,0,0,7,17.4,10.3,23367.53
9,1,0,0,3,2,8,12.6,11.9,12194.92
8,0,1,0,2,1,8,8.6,23.7,22171.9
6,3,1,4,1,1,10,15.1,15.3,26122.71
8,3,0,4,0,0,6,5.7,7.4,1834.27
7,0,2,1,3,1,1,7.0,23.2,22183.06
1,1,0,2,3,1,2,11.2,21.0,9574.56
0,1,2,2,3,0,8,8.6,18.4,19344.25
6,0,0,1,3,0,10,14.5,12.8,3926.71
6,3,1,2,2,1,11,11.0,6.7,7228.63
7,3,2,2,2,1,1,15.8,13.6,33705.43
4,0,2,1,1,0,12,11.9,17.8,22607.99
2,0,2,4,1,1,9,12.4,9.8,19443.78
7,2,1,0,2,2,1,9.2,13.7,14929.07
5,0,2,1,2,0,8,9.3,21.9,25805.16
10,0,0,1,0,0,4,4.4,21.5,2390.45
2,3,2,0,0,1,6,11.8,19.8,33607.08
0,2,2,0,1,2,8,9.6,12.7,20551.14
2,2,1,3,1,1,3,4.3,17.9,7756.89
4,3,0,3,0,1,1,10.7,14.6,8975.88
2,3,0,3,2,1,3,9.7,19.5,8877.98
0,1,0,4,3,2,5,17.9,16.4,22144.27
4,2,2,1,2,2,2,15.9,9.4,23023.05
9,0,3,3,3,2,2,15.5,15.6,50276.13
6,2,3,4,0,0,10,13.7,19.2,42041.93
6,1,2,0,2,1,7,15.6,14.3,33862.6
10,0,1,3,0,1,7,7.2,18.9,16281.67
8,1,1,1,1,0,11,13.6,8.0,7748.22
9,3,2,2,0,1,9,17.3,21.1,62735.75
9,1,0,4,3,1,11,10.4,14.1,8938.27
2,3,0,4,2,0,11,15.7,24.8,12192.59
6,1,2,0,1,0,3,10.4,13.1,15778.06
0,3,0,0,2,0,3,5.7,8.0,767.25
3,2,0,0,1,2,3,4.8,18.6,6438.98
3,3,3,3,0,1,12,14.7,21.1,57179.51
4,2,3,0,1,1,9,9.7,22.5,41918.11
6,3,2,2,0,0,9,12.8,13.5,25858.2
6,1,3,4,1,0,12,11.0,14.4,27578.81
10,1,3,4,3,2,2,15.9,23.0,86216.28
3,1,1,0,2,0,11,10.9,13.7,9006.02
6,3,2,1,2,1,1,12.5,6.6,12084.21
10,3,1,4,3,0,9,7.5,8.6,7472.74
2,1,3,3,0,1,12,6.5,18.0,19998.94
5,2,3,1,1,2,8,7.6,14.5,25366.73
1,3,0,1,0,2,5,6.3,23.5,10052.38
9,2,1,2,0,2,8,11.9,17.0,28905.17
8,3,1,0,3,1,3,11.1,21.8,22742.09
4,1,2,3,3,1,11,12.3,12.3,21281.12
5,2,0,1,3,0,4,9.7,10.0,2615.66
3,0,0,1,0,0,4,5.3,14.5,728.67
10,3,0,0,3,2,2,4.8,15.1,6233.27
9,2,3,3,1,0,4,14.6,8.0,20192.36
6,1,3,0,0,1,1,15.7,8.3,22884.45
8,2,3,3,1,1,8,15.6,11.6,41523.09
6,0,1,0,3,0,2,7.9,8.9,4314.08
0,0,1,0,2,0,9,7.9,13.8,6343.79
0,2,2,0,0,0,12,11.6,22.3,23873.82
8,0,0,2,0,1,10,14.2,13.2,9206.04
10,3,3,0,1,1,12,7.4,16.1,21677.37
8,0,3,1,1,0,10,13.6,19.2,40087.05
3,2,0,2,0,0,8,11.8,7.9,2286.62
8,2,3,0,3,2,6,6.3,9.9,14890.73
2,3,3,3,1,1,6,6.9,12.4,17811.25
6,3,1,4,1,2,12,8.5,24.6,26377.21
5,2,1,2,2,1,4,16.9,15.7,25901.72
7,1,3,3,1,1,8,16.3,10.5,37529.8
10,3,3,2,0,1,8,7.0,18.0,30925.77
8,1,1,3,3,0,2,15.7,15.3,21271.11
4,0,0,1,3,2,2,9.7,21.6,13975.72
0,0,0,3,1,2,1,8.7,11.4,5171.38
2,3,3,1,2,0,9,7.6,14.0,17795.8
9,3,2,3,3,1,3,14.0,19.6,42713.8
7,2,2,2,1,0,1,10.6,6.8,8563.8
10,0,3,4,2,0,9,17.8,18.9,66897.27
5,3,0,2,1,0,6,11.9,18.7,8703.35
7,2,2,1,0,2,2,9.5,20.7,28495.75
8,1,1,3,1,2,9,8.9,22.4,27294.84
3,2,2,3,0,0,6,12.7,11.8,21020.88
0,0,1,3,3,0,9,6.6,18.7,7885.43
0,2,2,4,2,2,7,11.7,6.3,12928.74
9,2,0,2,1,0,3,16.3,6.3,3872.74
3,3,3,2,1,2,1,14.7,22.3,69377.07
6,2,3,3,3,2,2,7.9,17.5,31093.31
1,0,3,3,1,2,12,13.2,9.5,24416.26
2,2,1,3,2,1,5,11.4,22.0,26074.38
0,2,3,2,3,2,1,6.4,25.0,34011.24
4,0,2,4,0,2,3,5.1,23.9,19770.83
0,1,0,3,1,0,7,8.9,12.5,1730.53
7,1,3,3,1,2,9,9.0,13.2,29507.78
0,0,1,4,2,2,5,15.3,7.3,14440.19
10,1,1,4,2,1,1,13.6,22.5,33000.23
0,2,0,3,3,0,7,10.5,14.3,3923.52
1,3,0,1,3,0,12,6.7,15.9,2672.22
1,0,1,4,0,2,7,12.7,21.4,33373.99
5,2,0,4,2,2,10,12.7,13.8,13981.77
6,3,2,2,3,2,1,8.3,17.7,23952.52
4,2,2,0,2,1,7,17.3,9.9,24583.63
0,0,3,3,2,2,3,16.3,13.5,46212.29
0,2,3,0,1,2,5,16.4,9.0,34013.57
2,0,1,0,1,2,3,6.7,8.6,6099.55
1,2,1,3,0,0,9,10.3,13.7,10705.44
4,3,2,2,1,2,1,15.1,9.5,24503.95
9,3,0,4,2,0,7,7.7,9.1,3851.12
5,3,3,2,0,2,6,5.1,10.0,12394.7
6,1,0,2,1,0,4,12.6,19.8,6322.66
3,2,3,3,0,1,8,8.3,23.2,41827.22
6,2,3,1,0,1,2,7.8,19.7,29593.93
10,3,1,4,3,1,5,9.6,23.6,30486.66
7,0,0,4,0,2,8,11.7,21.0,22684.38
10,1,1,3,1,2,4,16.7,11.6,26197.78
0,2,0,1,3,1,5,8.7,18.9,7928.8
5,2,0,1,3,2,7,12.9,8.2,8735.48
7,1,3,0,3,1,4,5.4,13.7,13939.5
4,1,0,0,3,1,2,17.8,14.0,10252.84
3,3,3,2,2,1,9,13.3,17.3,45404.51
1,1,3,4,3,2,11,14.3,5.1,15440.49
5,3,3,4,0,0,6,11.3,13.3,32502.4
5,1,2,4,2,2,2,4.3,8.3,6010.29
10,1,3,2,3,2,1,16.6,15.4,56322.0
0,2,1,1,3,2,11,11.3,16.1,20248.3
8,3,0,1,2,1,8,5.8,11.4,4430.62
10,1,0,4,0,0,9,14.0,22.2,15105.4
5,1,2,1,0,2,3,16.1,16.3,42348.33
2,2,2,4,3,1,2,15.4,8.3,20107.67
3,0,2,1,3,0,4,11.1,12.7,14278.36
10,2,1,3,0,0,12,6.6,19.9,11916.87
3,3,3,0,3,2,9,12.2,12.5,33975.26
2,0,2,3,2,1,5,17.9,21.2,56622.62
9,1,2,0,0,0,3,4.1,19.6,9802.39
2,3,0,1,0,2,7,4.1,16.0,4763.42
2,0,0,3,2,2,4,13.1,17.6,13734.27
3,3,2,4,3,0,6,14.7,10.1,21903.75
6,2,0,3,1,1,4,11.1,22.4,13330.9
3,0,0,1,3,0,2,13.5,6.4,1264.3
8,0,3,1,1,1,9,6.5,24.1,32684.8
0,0,2,0,3,0,6,7.1,8.9,6767.4
7,1,2,3,3,2,4,9.4,5.5,7846.86
6,2,3,1,1,0,6,6.1,16.7,18966.65
1,0,2,3,1,2,5,16.0,21.7,54747.71
7,3,2,2,3,2,9,9.9,10.3,23486.24
0,1,3,1,0,1,7,4.7,17.5,15728.7
10,2,3,0,2,1,12,17.5,6.8,22832.86
8,2,2,0,0,0,9,10.8,8.9,13944.83
8,2,0,4,2,2,6,10.5,24.1,24564.99
1,2,3,1,1,2,11,14.7,15.1,43775.49
6,1,3,4,2,2,11,14.2,5.1,14823.19
9,2,1,0,1,1,3,17.6,17.5,31722.71
2,3,0,1,2,1,10,12.6,22.4,12554.16
6,3,2,2,3,0,12,14.4,7.8,14742.05
9,3,1,3,0,2,1,16.3,6.8,14555.97
8,0,1,1,3,0,7,14.1,5.2,5725.37
3,2,1,4,0,0,12,9.7,6.7,4927.51
0,3,0,1,2,1,10,15.3,13.9,8772.07
1,2,3,0,1,2,8,10.2,8.0,16622.3
0,1,2,0,1,2,2,18.0,22.2,61805.32
4,3,0,0,2,2,2,8.0,21.0,12195.09
4,0,1,3,2,1,5,4.8,21.4,10787.35
10,0,0,1,0,2,12,6.2,10.6,4633.42
6,1,2,0,3,2,4,17.7,6.4,18901.88
8,3,0,0,3,0,11,11.4,18.3,7352.64
8,1,1,2,1,1,3,9.4,8.1,7658.67
2,0,1,0,0,2,11,16.1,24.4,36551.18
2,0,3,4,2,2,12,7.1,9.3,12624.87
2,2,0,0,1,1,9,4.7,9.2,1861.46
3,1,2,4,0,1,10,7.8,6.7,7241.85
7,0,3,3,0,2,4,4.4,20.6,18838.85
5,3,3,3,0,0,2,5.0,6.7,5894.88
7,3,2,1,0,2,1,14.2,9.6,22282.54
0,0,2,2,1,1,9,7.6,11.0,11963.77
7,1,0,1,3,2,3,7.8,7.6,4230.42
3,1,1,0,1,1,12,13.3,16.2,17420.57
10,3,3,3,3,1,4,9.9,8.9,17254.87
0,0,3,4,2,2,9,6.5,8.7,10894.1
7,3,0,1,2,1,9,6.3,15.0,6119.02
3,1,1,3,2,0,5,4.8,13.0,5246.4
5,0,0,4,3,1,9,4.2,18.8,4721.97
7,3,1,4,0,2,7,12.4,12.1,22677.34
3,0,2,0,2,1,3,16.9,7.2,14597.7
2,2,0,1,0,2,10,17.0,19.4,19900.95
8,3,2,4,1,2,9,5.4,24.8,27279.07
2,3,0,3,1,1,12,12.3,5.4,3216.17
8,2,2,1,1,1,10,16.4,13.7,31680.1
1,1,1,0,3,0,10,13.6,11.8,8734.79
1,3,1,0,2,0,6,10.3,21.2,15187.63
1,3,1,3,1,2,5,5.1,12.4,9027.6
5,1,3,4,1,2,3,10.0,16.7,37079.91
2,0,1,0,1,2,3,9.8,21.4,20545.03
8,2,0,0,1,0,6,12.8,18.7,7360.05
3,1,1,4,0,2,12,10.1,22.8,24660.8
0,0,3,4,3,0,9,5.1,17.2,15367.37
3,2,2,4,3,2,5,16.1,17.3,54674.21
0,0,3,2,1,1,4,16.2,7.9,20432.47
4,3,3,2,1,2,5,13.0,8.6,25536.57
3,2,2,4,0,1,2,15.3,24.3,56281.78
7,0,0,4,1,1,3,17.7,10.3,9168.03
7,2,0,3,2,0,11,7.6,12.1,3723.92
6,0,1,0,2,0,8,14.2,5.9,5940.14
2,0,3,1,2,0,8,4.1,20.2,14658.38
0,3,0,2,0,0,4,11.0,13.5,2803.18
0,1,1,2,1,2,4,6.0,5.4,3250.59
10,2,3,4,1,0,8,13.5,18.5,52259.04
2,3,3,4,2,1,8,10.3,20.2,48922.52
5,2,0,4,0,1,3,9.4,22.7,11822.21
6,1,1,1,2,0,3,13.6,16.3,15888.18
5,3,2,2,0,1,1,17.1,5.1,12768.02
5,1,3,1,3,0,10,7.2,16.2,17487.39
5,3,1,0,3,2,9,17.9,10.3,25460.29
2,3,2,1,1,1,10,11.1,11.1,15678.09
5,3,2,3,0,2,7,16.6,12.8,41012.94
7,3,0,2,2,2,6,14.7,7.4,10417.2
10,0,2,1,0,0,3,7.3,8.5,7460.73
10,2,3,2,2,1,1,16.2,18.9,63124.46
1,0,3,4,2,1,5,14.2,15.3,41428.85
4,0,1,1,3,1,1,5.5,17.8,7792.91
0,0,3,2,1,1,6,15.7,6.9,20505.11
0,3,0,1,3,1,3,6.3,22.6,5903.84
4,3,0,1,1,1,4,11.3,20.2,10723.88
2,1,3,1,3,0,5,12.3,7.6,16425.28
3,2,1,3,1,0,9,12.6,14.4,14847.45
2,1,0,3,2,1,4,12.2,13.8,7600.16
0,1,1,1,1,0,7,15.7,10.8,11035.83
0,2,3,1,1,0,7,8.5,19.9,28449.64
4,2,2,2,2,2,1,5.6,8.0,6514.31
5,1,0,4,2,0,2,16.7,24.9,12558.52
2,1,2,0,3,1,2,11.5,5.4,7858.38
8,1,0,4,3,2,6,13.6,12.5,16827.41
4,3,3,2,3,0,2,15.8,22.2,61786.34
7,2,1,3,2,1,7,12.7,24.6,40336.59
0,2,1,2,0,1,4,9.3,6.4,4805.34
4,0,1,2,0,1,9,7.6,22.7,15582.07
2,3,3,0,1,0,7,6.4,6.8,7462.26
0,3,1,4,3,0,11,16.6,13.6,17470.62
3,2,0,3,0,0,7,16.2,23.7,10358.2
4,3,2,2,0,1,7,12.7,9.4,19994.15
6,1,3,0,2,2,8,6.6,14.9,22840.03
0,2,2,2,1,0,4,16.7,22.9,43848.9
2,2,0,2,2,1,12,5.8,23.3,6128.25
1,3,0,4,0,1,11,6.4,8.3,2518.92
8,2,2,4,3,0,3,10.2,19.0,26122.55
9,3,2,0,0,2,11,11.9,5.6,11889.21
5,3,0,2,1,1,9,15.2,19.7,19090.61
9,3,0,2,2,1,3,14.4,23.0,21088.5
2,1,0,2,0,1,11,5.5,6.8,1444.37
7,3,0,1,1,1,3,6.6,19.3,7276.23
7,3,0,1,0,0,4,13.4,17.6,7451.58
1,0,2,2,0,1,1,6.5,21.5,16508.89
5,0,2,4,2,1,10,15.9,13.2,29046.86
6,1,3,0,2,2,9,12.9,22.2,63655.48
1,1,1,4,0,2,5,9.9,23.2,28645.08
10,3,1,0,1,0,8,11.0,19.5,21115.71
9,0,2,3,3,0,12,5.5,17.5,11864.8
1,1,2,2,2,0,7,16.8,7.0,14254.69
9,2,1,2,2,0,5,7.8,7.9,5144.06
0,2,1,1,3,0,11,4.2,10.6,2744.57
7,3,1,3,1,2,7,6.7,14.5,15134.29
0,0,3,1,2,2,3,15.0,5.9,16687.56
8,2,0,4,2,2,1,5.5,20.6,9347.49
10,0,1,1,1,1,6,15.6,7.9,12810.12
5,1,0,0,2,0,7,12.1,6.0,1455.82
6,0,3,2,0,2,10,16.7,21.7,75241.02
9,3,0,4,0,2,4,5.0,9.0,4415.63
6,0,1,3,1,1,8,16.7,9.2,15899.2
9,2,2,2,3,0,9,9.7,5.7,8275.63
2,0,3,4,1,2,11,15.4,25.0,70685.0
1,0,1,3,1,1,3,9.4,18.7,14120.4
8,0,1,0,2,2,9,5.4,11.8,8120.87
7,1,1,0,3,2,9,16.4,14.3,31734.86
9,3,1,3,0,1,5,4.3,17.7,10200.95
6,2,3,2,1,1,12,10.1,7.5,13521.05
8,2,1,0,1,0,8,9.2,16.7,11369.09
3,0,0,4,2,2,10,8.9,6.1,3801.81
3,0,1,2,1,1,1,10.4,23.5,21048.96
0,1,3,3,1,2,7,4.7,8.0,7960.18
7,3,2,0,0,1,9,14.0,18.7,47660.69
2,2,2,0,0,2,1,5.9,24.7,23216.68
6,3,0,1,1,0,2,8.1,23.7,5896.53
1,2,0,1,0,1,7,17.4,11.1,7907.25
1,0,1,2,2,2,11,15.8,20.9,32401.35
6,1,1,2,0,2,7,11.0,8.1,11462.67
5,1,0,3,0,2,9,9.6,10.8,8067.19
2,0,2,3,3,1,10,16.9,13.3,31153.77
8,0,3,3,0,0,5,16.6,16.4,52094.51
9,0,1,1,2,0,6,13.1,16.5,18017.45
5,3,3,0,1,0,8,8.4,12.8,18209.3
9,0,2,0,2,2,5,14.9,9.7,26909.22
9,3,0,3,3,1,5,12.2,18.3,18490.55
5,0,2,1,2,2,4,5.7,13.5,12824.13
0,1,3,3,2,1,4,5.9,8.1,7929.53
3,3,2,4,3,0,2,7.7,18.1,17897.59
9,1,2,2,1,0,2,11.9,19.9,27379.84
5,0,1,1,1,0,12,4.4,11.8,2901.89
5,0,0,0,0,1,4,16.0,5.1,2765.84
10,2,3,4,1,2,3,6.6,9.5,14790.64
4,3,3,2,2,0,5,15.1,21.7,54004.72
0,3,1,2,0,1,6,15.8,6.9,10565.51
7,3,2,2,0,2,11,9.0,13.0,20579.78
4,3,3,1,1,1,10,8.7,10.5,17238.9
4,1,1,1,1,1,3,6.0,8.8,4182.48
6,3,3,1,3,2,2,12.5,17.6,46828.22
3,1,1,0,2,2,5,8.4,20.9,21474.52
5,0,1,0,1,1,6,12.9,14.1,17845.86
3,1,0,0,1,0,11,9.0,12.8,1547.68
2,3,0,4,3,2,9,4.9,10.2,4365.79
6,1,2,4,0,2,7,10.8,5.7,10679.82
7,3,1,3,1,1,4,8.3,16.0,14300.3
3,1,3,3,2,1,7,16.1,10.2,33789.53
1,2,2,2,1,1,5,7.7,13.7,15124.12
9,3,1,2,0,2,4,17.9,8.9,21206.23
2,1,2,1,1,2,1,17.8,11.8,31751.14
0,3,3,2,2,0,9,4.8,10.7,8509.19
7,0,3,2,0,0,1,11.3,15.1,26044.66
2,1,0,4,0,2,8,12.0,8.3,7783.6
9,1,2,0,3,2,8,12.2,23.7,53146.11
6,2,0,2,1,1,4,13.7,20.7,15279.95
9,3,1,3,2,0,2,7.4,16.5,11976.82
4,1,1,3,1,1,10,11.8,11.8,14058.31
9,2,3,2,2,2,4,4.7,15.1,15949.48
4,2,1,1,1,2,4,17.1,16.8,30878.4
6,2,2,3,1,0,11,15.3,18.2,33801.99
8,3,3,2,1,1,2,10.5,21.8,45719.36
4,3,3,3,2,1,12,10.9,20.5,38464.17
0,1,2,2,2,1,4,12.3,23.9,37729.79
9,3,2,4,2,1,12,6.4,19.2,20709.45
9,3,0,3,3,0,8,12.1,11.7,6896.88
0,0,1,2,1,1,12,6.5,20.0,9987.38
1,3,3,4,0,1,12,6.4,15.9,19688.04
5,0,1,2,3,1,6,12.2,14.1,18275.59
8,1,0,2,2,0,5,8.7,10.7,3306.23
7,2,0,1,1,0,5,12.6,23.1,9961.22
4,0,3,2,2,0,2,16.6,6.0,14644.74
0,1,1,3,3,2,5,4.5,24.5,13154.02
6,0,1,0,2,0,1,14.4,8.5,7263.76
4,3,3,2,1,0,4,11.7,6.0,11918.32
5,1,3,3,2,2,7,17.1,9.7,41117.59
6,2,0,2,2,1,4,9.2,8.0,4221.73
2,0,3,0,3,0,5,13.8,19.5,44969.02
9,3,0,0,1,0,10,13.9,17.9,8749.83
2,1,1,2,3,2,10,5.9,7.7,4775.6
4,3,1,3,1,2,7,13.8,19.2,40179.65
5,1,0,4,1,0,9,9.0,19.9,5414.38
8,0,1,1,1,0,8,16.5,13.7,18065.2
4,1,3,2,0,2,12,17.7,14.2,49319.33
0,0,0,3,0,0,5,14.0,9.2,1375.84
3,1,1,0,2,1,2,16.6,8.8,11915.29
4,3,2,3,0,0,10,6.1,24.9,21184.48
9,3,2,2,0,1,2,15.5,21.8,54331.32
9,0,1,3,3,2,1,8.1,21.5,20714.9
4,2,3,3,3,1,8,6.5,13.3,19573.63
6,0,0,2,0,0,8,15.3,10.4,3615.06
3,3,2,2,1,1,2,5.1,9.8,7250.44
0,1,3,4,2,0,1,11.7,23.0,43325.15
4,2,0,2,2,2,8,15.0,14.9,18079.19
6,3,2,0,2,2,7,11.8,13.6,32962.43
9,2,2,3,3,2,5,4.7,14.3,12978.37
9,0,2,0,3,1,2,8.0,5.7,7674.78
5,3,1,1,2,0,12,15.2,22.5,27839.83
4,0,1,1,2,1,10,5.7,5.5,2450.8
3,3,3,2,1,0,6,8.2,18.3,27066.54
1,3,0,3,2,2,3,13.8,9.5,9567.26
3,0,1,2,2,0,4,16.3,21.7,19100.73
9,3,0,4,2,0,5,9.4,17.2,8906.07
9,2,2,0,2,1,6,6.9,16.3,19005.0
2,2,1,2,2,0,1,17.3,24.6,28904.98
9,0,2,4,2,2,2,9.5,8.6,13739.93
0,1,0,0,2,2,7,15.9,12.7,12687.18
7,2,1,2,1,1,12,4.1,12.9,5491.19
4,3,1,2,3,1,7,9.1,17.2,18005.97
3,0,2,2,2,0,10,8.7,7.2,6669.85
7,1,3,4,1,1,6,16.7,5.4,21076.77
6,0,1,0,3,2,4,14.4,22.3,34821.82
1,2,0,3,1,0,1,7.4,18.4,3009.38
0,3,1,4,1,2,9,15.7,11.7,22709.86
10,2,2,4,1,1,11,7.7,18.5,21014.24
3,0,0,4,1,0,12,7.1,11.6,1766.9
7,3,1,0,3,0,4,7.1,20.4,11304.83
1,1,2,1,1,2,3,17.7,21.4,52562.2
2,2,2,3,2,2,2,9.7,8.9,13787.64
0,0,3,3,3,1,7,5.2,13.2,13487.03
0,3,2,3,1,0,8,11.0,20.4,29286.56
2,0,2,1,3,1,1,9.1,23.1,26443.44
10,1,3,4,0,1,10,14.9,12.6,36516.38
4,1,3,1,3,0,12,15.0,22.1,50331.87
2,2,3,3,0,2,5,13.7,8.4,26479.6
0,1,3,4,2,0,7,4.6,15.2,13155.25
0,1,2,0,0,1,3,16.4,19.5,37264.14
7,2,0,3,0,2,4,15.9,9.3,10668.07
9,0,2,4,3,1,1,13.4,16.9,33462.6
10,2,2,0,2,2,3,7.3,6.8,8819.7
1,2,1,1,1,2,9,14.9,8.7,15339.29
2,3,0,4,2,0,2,10.3,19.5,6479.75
1,1,2,4,0,1,1,16.4,8.5,17303.31
2,1,1,1,2,2,10,6.7,12.7,8589.78
6,0,0,0,3,1,7,10.6,24.4,12282.92
0,1,0,1,2,0,6,6.5,12.0,985.68
9,0,2,3,2,0,4,13.9,24.1,43895.18
7,3,0,2,0,1,11,16.6,23.4,20614.92
9,0,1,1,1,0,10,12.3,13.2,11555.81
9,0,0,3,0,1,12,17.4,7.1,6280.4
9,3,2,4,2,2,4,15.4,6.1,16613.9
1,2,3,3,3,2,1,10.1,8.4,16853.96
2,3,2,4,1,2,1,18.0,7.1,21664.95
8,1,3,2,0,0,12,14.0,13.8,31856.36
6,1,1,2,0,2,1,6.8,20.4,15921.29
3,3,0,1,1,2,4,18.0,24.5,29277.15
9,0,1,2,3,2,2,10.0,19.5,22392.45
4,3,0,1,0,2,10,11.4,15.9,12537.56
1,1,0,0,3,0,6,12.9,9.7,1500.8
10,3,0,4,2,2,11,8.3,8.0,6351.19
7,0,3,1,3,2,8,7.4,13.8,24875.95
3,1,0,2,3,2,6,8.1,24.6,15120.44
8,2,3,2,0,2,2,5.6,15.7,18592.66
4,3,2,4,2,2,10,15.7,15.7,39334.8
8,3,3,4,2,2,6,5.2,22.8,31358.52
